id,source,type,value,date
1,S002,f,0,1943
2,S002,m,0,1943
3,S002,p,1,1943
4,S002,s,3,1943
5,S004,f,6,1945
6,S004,m,1,1945
7,S004,p,4,1945
8,S004,s,8,1945
9,S006,f,2,1946
10,S006,m,0,1946
11,S006,p,0,1946
12,S006,s,0,1946
13,S007,f,2,1946
14,S007,m,1,1946
15,S007,p,0,1946
16,S007,s,1,1946
17,S008,f,0,1946
18,S008,m,1,1946
19,S008,p,1,1946
20,S008,s,2,1946
21,S009,f,0,1946
22,S009,m,0,1946
23,S009,p,1,1946
24,S009,s,1,1946
25,S010,f,1,1946
26,S010,m,1,1946
27,S010,p,0,1946
28,S010,s,1,1946
29,S011,f,3,1946
30,S011,m,0,1946
31,S011,p,0,1946
32,S011,s,1,1946
33,S012,f,0,1946
34,S012,m,1,1946
35,S012,p,1,1946
36,S012,s,0,1946
37,S013,f,3,1946
38,S013,m,0,1946
39,S013,p,1,1946
40,S013,s,1,1946
41,S014,f,0,1947
42,S014,m,0,1947
43,S014,p,0,1947
44,S014,s,1,1947
45,S015,f,3,1947
46,S015,m,0,1947
47,S015,p,0,1947
48,S015,s,0,1947
49,S016,f,1,1947
50,S016,m,0,1947
51,S016,p,2,1947
52,S016,s,1,1947
53,S017,f,0,1947
54,S017,m,1,1947
55,S017,p,0,1947
56,S017,s,0,1947
57,S018,f,4,1947
58,S018,m,0,1947
59,S018,p,0,1947
60,S018,s,0,1947
61,S019,f,3,1947
62,S019,m,0,1947
63,S019,p,1,1947
64,S019,s,0,1947
65,S020,f,0,1947
66,S020,m,0,1947
67,S020,p,0,1947
68,S020,s,1,1947
69,S021,f,0,1947
70,S021,m,0,1947
71,S021,p,1,1947
72,S021,s,1,1947
73,S022,f,0,1947
74,S022,m,0,1947
75,S022,p,1,1947
76,S022,s,1,1947
77,S023,f,2,1948
78,S023,m,1,1948
79,S023,p,1,1948
80,S023,s,0,1948
81,S024,f,0,1948
82,S024,m,0,1948
83,S024,p,0,1948
84,S024,s,1,1948
85,S025,f,2,1948
86,S025,m,0,1948
87,S025,p,1,1948
88,S025,s,3,1948
89,S026,f,2,1948
90,S026,m,0,1948
91,S026,p,0,1948
92,S026,s,0,1948
93,S028,f,0,1948
94,S028,m,0,1948
95,S028,p,1,1948
96,S028,s,0,1948
97,S029,f,1,1948
98,S029,m,0,1948
99,S029,p,0,1948
100,S029,s,0,1948
101,S030,f,1,1948
102,S030,m,0,1948
103,S030,p,0,1948
104,S030,s,0,1948
105,S031,f,0,1948
106,S031,m,0,1948
107,S031,p,1,1948
108,S031,s,1,1948
109,S032,f,2,1948
110,S032,m,0,1948
111,S032,p,2,1948
112,S032,s,0,1948
113,S033,f,0,1948
114,S033,m,0,1948
115,S033,p,0,1948
116,S033,s,2,1948
117,S034,f,3,1948
118,S034,m,0,1948
119,S034,p,0,1948
120,S034,s,0,1948
121,S035,f,2,1949
122,S035,m,0,1949
123,S035,p,1,1949
124,S035,s,1,1949
125,S036,f,1,1949
126,S036,m,0,1949
127,S036,p,1,1949
128,S036,s,2,1949
129,S037,f,1,1949
130,S037,m,0,1949
131,S037,p,0,1949
132,S037,s,0,1949
133,S038,f,0,1949
134,S038,m,0,1949
135,S038,p,0,1949
136,S038,s,3,1949
137,S039,f,1,1949
138,S039,m,1,1949
139,S039,p,0,1949
140,S039,s,1,1949
141,S041,f,0,1949
142,S041,m,0,1949
143,S041,p,1,1949
144,S041,s,0,1949
145,S043,f,2,1949
146,S043,m,0,1949
147,S043,p,0,1949
148,S043,s,1,1949
149,S044,f,2,1950
150,S044,m,0,1950
151,S044,p,0,1950
152,S044,s,0,1950
153,S045,f,1,1950
154,S045,m,1,1950
155,S045,p,0,1950
156,S045,s,0,1950
157,S046,f,1,1950
158,S046,m,0,1950
159,S046,p,1,1950
160,S046,s,2,1950
161,S047,f,0,1950
162,S047,m,0,1950
163,S047,p,1,1950
164,S047,s,0,1950
165,S048,f,2,1950
166,S048,m,1,1950
167,S048,p,0,1950
168,S048,s,1,1950
169,S049,f,1,1951
170,S049,m,1,1951
171,S049,p,0,1951
172,S049,s,1,1951
173,S050,f,7,1951
174,S050,m,0,1951
175,S050,p,0,1951
176,S050,s,1,1951
177,S052,f,3,1952
178,S052,m,0,1952
179,S052,p,1,1952
180,S052,s,0,1952
181,S053,f,0,1952
182,S053,m,1,1952
183,S053,p,1,1952
184,S053,s,1,1952
185,S054,f,6,1952
186,S054,m,1,1952
187,S054,p,0,1952
188,S054,s,9,1952
189,S055,f,1,1952
190,S055,m,0,1952
191,S055,p,0,1952
192,S055,s,1,1952
193,S056,f,2,1952
194,S056,m,0,1952
195,S056,p,0,1952
196,S056,s,0,1952
197,S057,f,2,1952
198,S057,m,0,1952
199,S057,p,0,1952
200,S057,s,0,1952
201,S059,f,4,1952
202,S059,m,1,1952
203,S059,p,0,1952
204,S059,s,0,1952
205,S060,f,2,1953
206,S060,m,0,1953
207,S060,p,2,1953
208,S060,s,0,1953
209,S061,f,0,1953
210,S061,m,0,1953
211,S061,p,1,1953
212,S061,s,0,1953
213,S063,f,4,1953
214,S063,m,1,1953
215,S063,p,2,1953
216,S063,s,0,1953
217,S064,f,2,1953
218,S064,m,1,1953
219,S064,p,1,1953
220,S064,s,1,1953
221,S065,f,6,1953
222,S065,m,2,1953
223,S065,p,3,1953
224,S065,s,4,1953
225,S066,f,1,1953
226,S066,m,0,1953
227,S066,p,0,1953
228,S066,s,1,1953
229,S067,f,4,1949
230,S067,m,1,1949
231,S067,p,3,1949
232,S067,s,6,1949
233,S068,f,2,1953
234,S068,m,1,1953
235,S068,p,0,1953
236,S068,s,2,1953
237,S069,f,1,1953
238,S069,m,0,1953
239,S069,p,1,1953
240,S069,s,0,1953
241,S070,f,0,1953
242,S070,m,1,1953
243,S070,p,1,1953
244,S070,s,1,1953
245,S071,f,1,1954
246,S071,m,0,1954
247,S071,p,0,1954
248,S071,s,1,1954
249,S072,f,5,1954
250,S072,m,0,1954
251,S072,p,1,1954
252,S072,s,4,1954
253,S073,f,3,1954
254,S073,m,0,1954
255,S073,p,1,1954
256,S073,s,1,1954
257,S074,f,0,1954
258,S074,m,0,1954
259,S074,p,1,1954
260,S074,s,0,1954
261,S077,f,1,1954
262,S077,m,0,1954
263,S077,p,3,1954
264,S077,s,0,1954
265,S078,f,0,1954
266,S078,m,0,1954
267,S078,p,0,1954
268,S078,s,1,1954
269,S080,f,0,1954
270,S080,m,0,1954
271,S080,p,1,1954
272,S080,s,0,1954
273,S081,f,0,1954
274,S081,m,0,1954
275,S081,p,1,1954
276,S081,s,1,1954
277,S082,f,1,1954
278,S082,m,0,1954
279,S082,p,0,1954
280,S082,s,0,1954
281,S083,f,2,1954
282,S083,m,0,1954
283,S083,p,1,1954
284,S083,s,1,1954
285,S084,f,3,1955
286,S084,m,0,1955
287,S084,p,1,1955
288,S084,s,6,1955
289,S085,f,0,1956
290,S085,m,0,1956
291,S085,p,0,1956
292,S085,s,4,1956
293,S086,f,3,1957
294,S086,m,0,1957
295,S086,p,0,1957
296,S086,s,2,1957
297,S088,f,14,1957
298,S088,m,2,1957
299,S088,p,12,1957
300,S088,s,20,1957
301,S089,f,0,1958
302,S089,m,1,1958
303,S089,p,0,1958
304,S089,s,2,1958
305,S091,f,2,1958
306,S091,m,1,1958
307,S091,p,0,1958
308,S091,s,2,1958
309,S092,f,3,1958
310,S092,m,0,1958
311,S092,p,2,1958
312,S092,s,1,1958
313,S093,f,5,1958
314,S093,m,0,1958
315,S093,p,2,1958
316,S093,s,2,1958
317,S094,f,6,1958
318,S094,m,0,1958
319,S094,p,2,1958
320,S094,s,5,1958
321,S095,f,12,1958
322,S095,m,3,1958
323,S095,p,10,1958
324,S095,s,12,1958
325,S096,f,4,1958
326,S096,m,0,1958
327,S096,p,0,1958
328,S096,s,7,1958
329,S097,f,11,1958
330,S097,m,0,1958
331,S097,p,2,1958
332,S097,s,4,1958
333,S098,f,3,1958
334,S098,m,0,1958
335,S098,p,1,1958
336,S098,s,2,1958
337,S099,f,8,1958
338,S099,m,0,1958
339,S099,p,0,1958
340,S099,s,4,1958
341,S100,f,2,1958
342,S100,m,0,1958
343,S100,p,2,1958
344,S100,s,1,1958
345,S101,f,1,1958
346,S101,m,1,1958
347,S101,p,1,1958
348,S101,s,3,1958
