id,value,location,kills,health,title
1,1943,S002,0,frasi,Dieci soldi in plastilina
2,1944,S002,0,frasi,Dieci soldi in plastilina
3,1945,S004,6,frasi,Angoscia in caserma
4,1946,S008,0,frasi,E il settimo si riposò
5,1946,S009,0,frasi,Uomo nei gerbidi
6,1946,S012,0,frasi,Ragionamento del cugino
7,1946,S010,1,frasi,Campo di mine
8,1946,S006,2,frasi,Di padre in figlio
9,1946,S007,2,frasi,Paura sul sentiero
10,1946,S011,3,frasi,I fratelli Bagnasco
11,1946,S013,3,frasi,Cinque dopodomani: guerra finita!
12,1947,S014,0,frasi,Alba sui rami nudi
13,1947,S017,0,frasi,Visti alla mensa
14,1947,S020,0,frasi,La fame a Bévera
15,1947,S021,0,frasi,Furto in una pasticceria
16,1947,S022,0,frasi,Un bastimento carico di granchi
17,1947,S016,1,frasi,Ultimo viene il corvo
18,1947,S015,3,frasi,Come non fui Noè (Buon a nulla)
19,1947,S019,3,frasi,Come un volo d'anitre
20,1947,S018,4,frasi,L'occhio del padrone
21,1948,S024,0,frasi,Il giardino incantato
22,1948,S028,0,frasi,Com'era grande il mare
23,1948,S031,0,frasi,Voglia di mare
24,1948,S033,0,frasi,Chi ha messo la mina nel mare?
25,1948,S029,1,frasi,Il gatto e il poliziotto
26,1948,S030,1,frasi,Pranzo con un pastore
27,1948,S023,2,frasi,I figli poltroni
28,1948,S025,2,frasi,Impiccagione di un giudice
29,1948,S026,2,frasi,Il bosco degli animali
30,1948,S032,2,frasi,Isabella e Fioravanti
31,1948,S034,3,frasi,Dollari e vecchie mondane
32,1949,S038,0,frasi,La casa degli alveari
33,1949,S041,0,frasi,Uno dei tre è ancora vivo
34,1949,S036,1,frasi,Lasciare Anna
35,1949,S037,1,frasi,"Un pomeriggio, Adamo"
36,1949,S039,1,frasi,La stessa cosa del sangue
37,1949,S035,2,frasi,Freddo a Napoli
38,1949,S043,2,frasi,Desiderio in novembre
39,1949,S067,4,frasi,L'entrata in guerra
40,1950,S047,0,frasi,Cimitero di biciclette
41,1950,S045,1,frasi,Storia del soldato che portò il cannone a casa
42,1950,S046,1,frasi,"Pesci grossi, pesci piccoli"
43,1950,S044,2,frasi,Lettera ad Amelia sui dischi volanti
44,1950,S048,2,frasi,Mai nessuno degli uomini lo seppe
45,1951,S049,1,frasi,Il reggimento smarrito
46,1951,S050,7,frasi,L'avventura di una bagnante
47,1952,S053,0,frasi,Funghi in città
48,1952,S055,1,frasi,Il piccione comunale
49,1952,S056,2,frasi,La pietanziera
50,1952,S057,2,frasi,Gli occhi del nemico
51,1952,S052,3,frasi,Un bel gioco dura poco
52,1952,S059,4,frasi,La ragazza licenziata
53,1952,S054,6,frasi,La formica argentina
54,1953,S061,0,frasi,Il bosco sull'autostrada
55,1953,S070,0,frasi,Il generale in biblioteca
56,1953,S066,1,frasi,L'aria buona
57,1953,S069,1,frasi,Un paese disgraziato
58,1953,S060,2,frasi,Le disgrazie di un paese
59,1953,S064,2,frasi,Paese infido
60,1953,S068,2,frasi,L'avventura di un impiegato
61,1953,S063,4,frasi,La storia di Kim-Ghi-U
62,1953,S065,6,frasi,Gli avanguardisti a Mentone
